Releve_Number	Group_Number	Short_Head
 4	 1	      4
 20	 1	     20
 6	 1	      6
 20281	 1	     34
 20282	 2	     35
 20280	 2	     33
 14	 2	     14
 20008	 3	     28
 21	 3	     21
 22	 3	     22
 20338	 4	     37
 3	 4	      3
 5	 4	      5
 17	 4	     17
 1	 4	      1
 8	 4	      8
 15	 4	     15
 10	 4	     10
 7	 4	      7
 11	 4	     11
 20339	 4	     38
 16	 4	     16
 9	 4	      9
 19	 5	     19
 23086	 5	     39
 23088	 6	     41
 2	 7	      2
 12	 7	     12
 20010	 8	     30
 20009	 8	     29
 23	 8	     23
 20007	 8	     27
 20012	 8	     32
 20011	 8	     31
 13	 9	     13
 25	 9	     25
 26	 9	     26
 24	 9	     24
 20337	 10	     36
 18	 10	     18
 23087	 10	     40
