Releve Number	Plot_ID	Date	deg_lat	deg_lon	Elevation	Aspect	Aspect_fol	Slope	Northeaste	Windwardne	Wind speed	Topo	Soil_rockn	SVF	shallowest	deepest	median_soi	mean_soil	Cov_rock	soil_moist	pH	TN	TC	C_N_ratio	Ca_mg_kg_	Cu_mg_kg_	Fe_mg_kg_	K_mg_kg_	Mg_mg_kg_	Mn_mg_kg_	P_mg_kg_	Zn_mg_kg_	E3	E2	E1	E0	Eep	CoDeK	fog_freque	Group_Numb	Group number
4       	HS04      	20191012 	24.72913  	121.43575 	1925 	122 	77  	13 	13  	169   	4.418608665 	1 	0.1  		20 	35 	5 	33.125    	0  	8.7863 	3.396 	0.709  	10.6  	14.747226   	119.415     	0.239       	428.738     	103.14      	69.395      	9.486       	12.521      	5.243       	40 	10 	60 	5  	5   	C2A04   	0.257451266 	1 	1
20      	HS20      	20200922 	24.73428  	121.43528 	1862 	70  	25  	36 	65  	2340  	5.475607872 	1 	0    		16 	35 	5 	30.375    	0  	8.2785 	3.331 	0.7559 	11.36 	14.854418   	93.888      	0.314       	571.505     	111.224     	73.326      	3.227       	5.576       	6.291       	70 	15 	80 	2  	5   	C2A04   	0.271683872 	1 	1
6       	HS06      	20200630 	24.73134  	121.43457 	1970 	53  	8   	26 	82  	2132  	5.684797764 	2 	3.75 		0  	23 	3 	15.25     	0  	5.7747 	3.652 	0.4125 	6.195 	14.668996   	37.888      	0.275       	462.595     	64.988      	34.726      	3.628       	6.452       	2.761       	70 	25 	80 	1  	2.5 	C2A04   	0.243673131 	1 	1
20281   	02-1031   	2003     	24.7312   	121.43624 	1918 	180 	135 	20 	-45 	-900  	4.453260422 	1 	0    	0.9925 																								C2A04   	0.26905483  	1 	1
20282   	02-1032   	2003     	24.72809  	121.43416 	1920 	45  	0   	15 	90  	1350  	4.137379169 	3 	0    	0.9917 																								1.01    	0.244665414 	2 	2
20280   	02-1030   	2003     	24.72814  	121.43425 	1900 	135 	90  	3  	0   	0     	4.172326088 	1 	0    	0.9925 																								1.01    	0.245077237 	2 	2
14      	HS14      	20200729 	24.72522  	121.43838 	1820 	185 	140 	37 	-50 	-1850 	3.162885904 	3 	12.5 		20 	35 	5 	30.5      	1  	13.148 	3.347 	1.295  	22.68 	17.452919   	246.967     	1.131       	480.753     	262.344     	153.598     	20.898      	85.087      	10.444      	70 	15 	30 	10 	15  	1.01    	0.236682475 	4 	2
20008   	02-0102   	2004     	24.70579  	121.44746 	2000 	208 	163 	15 	-73 	-1095 	4.774108887 	1 	0    	0.9864 																								1.02    	0.12211854  	5 	3
21      	L1L       	2017     	24.70092  	121.44442 	2082 	180 	135 	14 	-45 	-630  	4.524324894 	1 	0    		10 	35 	5 	28.75     	0  	12.439 	3.047 	1.629  	31.1  	19.09858377 	221.102951  	0.540477425 	446.2534167 	112.4852995 	161.7049902 	11.41144701 	52.796318   	10.2740826  						1.02    	0.152055785 	4 	3
22      	L1R       	2016     	24.70341  	121.44658 	2060 	168 	123 	15 	-33 	-495  	3.745655298 	1 	0    		13 	35 	5 	28.46875  	0  	12.883 	2.954 	1.461  	40.53 	27.73882646 	301.130088  	0.86393684  	381.3749407 	296.7044662 	405.6699168 	8.160591778 	74.89804227 	26.04220864 						1.02    	0.148321316 	4 	3
