Region	Plot_ID	ID	Case	Seedling	GPS_N	GPS_E	Elev	Bias	shape	Sub	Sub_type	Dist_surf	Wide	Decay	Depth1	Depth2	M_cv	M_th1	M_th2	M_th	L_cv	L_th1	L_th2	L_th	Herb_cv	Herb_ht	Herb_htmax	Sd_cv	Sd_ht	Sd_htmax	Sp_cv	Sp_ht	Sp_htmax	Mother	Canopy_cv
TSS	TSS01	1	1		24.52450	121.36522	2048	4	50x50	log	CWD_halfD	100		3	1	12	80	5	4	4.5	5	2	3	2.5	1	2	4	2m	6	20	0	NA	NA	1	70
TSS	TSS01A1	1	0		24.52457	121.36515	2038	4	50x50	soil	Soil	0			27	7	2	4	3	3.5	65	2.5	2	2.25	r	6	6	3	25	40	2b	200	200	1	80
TSS	TSS01A2	1	0		24.52440	121.36526	2042	8	50x50	soil	Soil	0			16	8	1	2	2.5	2.25	90	4	2.5	3.25	r	7	7	r	10	10	2b	50	70	2	75
TSS	TSS01A3	1	0		24.52450	121.36517	2065	5	50x50	living_root	Mat			0	7.5	10	40	3	4	3.5	25	2.5	5	3.75	0	NA	NA	2m	20	40	3	150	200	1	80
TSS	TSS01A4	1	0		24.52449	121.36530	2049	5	50x50	soil	Soil	0			15	16	5	1	1	1	40	1.5	2	1.75	0	NA	NA	+	3	15	2m	190	200	1	75
TSS	TSS01A5	1	0		24.52447	121.36520	2069	5	50x50	soil	Soil	0			40	15	5	5	5	5	50	4	6	5	r	5	5	2m	30	50	0	NA	NA	2	70
TSS	TSS02	2	1		24.52477	121.36534	2077	4	50x50	log	CWD_halfD	40		4	8	6	98	1	1.5	1.25	1	1	1	1	r	3	5	r	3	5	0	NA	NA	1	75
TSS	TSS02A1	2	0		24.52478	121.36519	2020	5	50x50	soil	Soil	0			15	40	5	3	1	2	70	5	5	5	r	2	4	2a	30	50	2m	140	160	1	65
TSS	TSS02A2	2	0		24.52468	121.36539	2047	5	50x50	soil	Soil	0			28	22	1	3	3	3	70	3	5	4	r	5	5	1	20	30	+	80	120	1	88
TSS	TSS02A3	2	0		24.52481	121.36541	2064	5	50x50	living_root	Mat				40	40	20	4	3.5	3.75	50	2	5	3.5	+	5	8	2a	25	30	2m	120	140	1	80
TSS	TSS02A4	2	0		24.52471	121.36541	2058	5	50x50	soil	Soil	0			25	40	25	4	3	3.5	70	4	5	4.5	r	3	3	2b	30	50	2a	80	160	1	85
TSS	TSS02A5	2	0		24.52481	121.36526	2024	5	50x50	soil	Soil	0			15	40	1	1	1	1	80	6	4	5	+	7	13	2m	25	30	+	150	170	1	65
TSS	TSS03	3	1		24.52513	121.36528	2082	5	100x25	log	CWD_D	25		6	40	25	75	2	2	2	5	4	1.5	2.75	r	2	4	2m	20	50	0	NA	NA	1	70
TSS	TSS03A1	3	0		24.52511	121.36516	2032	3	50x50	soil	Soil	0			27	25	5	1	1	1	80	4	1	2.5	r	3	3	2b	20	40	2m	80	90	1	80
TSS	TSS03A2	3	0		24.52080	121.36549	2058	4	50x50	living_root	Living	80			0	0	75	3	2.5	2.75	5	2.5	2	2.25	1	4	10	r	2	4	0	NA	NA	1	85
TSS	TSS03A3	3	0		24.52502	121.36533	2039	4	50x50	soil	Soil	0			40	20	0	NA	NA	0	65	4	3	3.5	0	NA	NA	2a	30	50	0	NA	NA	2	85
TSS	TSS03A4	3	0		24.52514	121.36521	2021	4	50x50	soil	Soil	0			40	25	3	3	5	4	85	4	3	3.5	0	NA	NA	2a	25	30	0	NA	NA	2	85
TSS	TSS03A5	3	0		24.52511	121.36533	2033	3	50x50	snag	CWD_nonD	120		2	1	1	60	2	2	2	10	1	1	1	0	NA	NA	+	4	7	0	NA	NA	1	85
TSS	TSS04	4	1		24.52554	121.36567	2045	4	50x50	soil	Soil	0			28	10	70	5	4	4.5	25	1.5	2	1.75	r	3	3	+	7	10	0	NA	NA	2	80
TSS	TSS04A1	4	0		24.52551	121.36557	2037	3	50x50	soil	Soil	0			40	25	2	2	1	1.5	90	5	6	5.5	0	NA	NA	r	2.5	2.5	0	NA	NA	2	90
TSS	TSS04A2	4	0		24.52556	121.36569	2039	5	50x50	snag	CWD_halfD	120		3	1	5	70	4	5	4.5	30	1.5	1.5	1.5	+	3	6	1	10	20	r	80	150	1	75
TSS	TSS04A3	4	0		24.52555	121.36574	2045	5	40x62.5	log	CWD_D	20		6	40	20	35	4	3.5	3.75	25	6	2	4	0	NA	NA	2a	40	50	1	80	140	2	70
TSS	TSS04A4	4	0		24.52547	121.36560	2041	4	50x50	soil	Soil	0			40	40	3	2.5	2.5	2.5	65	2	2.5	2.25	0	NA	NA	r	2	2	0	NA	NA	2	85
TSS	TSS04A5	4	0		24.52553	121.36566	2036	5	25x100	branch	CWD_nonD	100		2	0.5	0.5	80	2	2.5	2.25	20	1.5	2	1.75	0	NA	NA	r	20	30	0	NA	NA	1	90
TSS	TSS05	5	1		24.52591	121.36591	2058	4	50x50	log	CWD_D	20		6	10	20	75	2	4	3	15	2	3	2.5	0	NA	NA	+	5	8	0	NA	NA	1	80
TSS	TSS05A1	5	0		24.52589	121.36595	2058	5	50x50	soil	Soil	0			10	25	3	1	1	1	90	4	5	4.5	0	NA	NA	1	15	25	1	130	130	2	75
TSS	TSS05A2	5	0		24.52588	121.36600	2060	4	50x50	soil	Soil	0			15	27	15	2	2	2	60	1.5	2	1.75	1	10	15	2m	20	25	0	NA	NA	2	80
TSS	TSS05A3	5	0		24.52583	121.36586	2057	5	50x50	soil	Soil	0			40	13	2	2	2	2	90	7	5	6	1	8	25	2a	40	50	1	100	130	1	80
TSS	TSS05A4	5	0		24.52583	121.36585	2054	4	50x50	soil	Soil	0			40	40	2	2	3	2.5	85	5	3	4	r	4	5	r	30	40	+	160	160	1	85
TSS	TSS05A5	5	0		24.52584	121.36584	2048	3	50x50	soil	Soil	0			26	12	15	1	2	1.5	80	2.5	4	3.25	r	4	5	2b	40	50	0	NA	NA	1	85
TSS	TSS06	6	1		24.52518	121.36583	2077	4	50x50	log	CWD_D	80		6	40	40	40	1	1	1	10	2	1	1.5	1	8	15	+	5	10	0	NA	NA	1	80
TSS	TSS06A1	6	0		24.52521	121.36577	2062	5	25x100	log	CWD_nonD	50		2	1	1	90	2	1.5	1.75	0	NA	NA	0	0	NA	NA	r	2.5	3	+	60	70	1	85
TSS	TSS06A2	6	0		24.52515	121.36567	2052	5	50x50	soil	Soil	0			40	40	2	2	2	2	40	2	5	3.5	0	NA	NA	0	NA	NA	2b	200	200	1	70
TSS	TSS06A3	6	0		24.52522	121.36576	2047	5	50x50	soil	Soil	0			22	11	35	6	4	5	30	3	3	3	+	5	12	2a	25	30	2m	70	130	1	70
TSS	TSS06A4	6	0		24.52519	121.36584	2051	5	50x50	living_root	Living	80		0	0	0	85	3	5	4	5	2	2	2	r	6	8	r	30	35	0	NA	NA	1	80
TSS	TSS06A5	6	0		24.52518	121.36577	2048	5	50x50	soil	Soil	0			15	13	85	3	5	4	10	1.5	3	2.25	r	5	7	2m	25	50	+	130	130	1	85
WDY	WDY01	7	1		24.58528	121.40414	1880	5	40x62.5	living_root	Living	85		0	0	0	90	10	11	10.5	2	2	2	2	2m	4	6	1	8	10	0	NA	NA	1	35
WDY	WDY01A1	7	0		24.85350	121.40419	1875	5	50x50	log	CWD_nonD	30		3	0.5	1	95	9	9	9	5	2.5	2	2.25	+	4	8	+	13	15	1	80	100	1	70
WDY	WDY01A2	7	0		24.58526	121.40424	1874	5	50x50	soil	Soil	0			40	26	50	10	10	10	35	3	4	3.5	+	13	16	0	NA	NA	0	NA	NA	1	80
WDY	WDY01A3	7	0		24.58527	121.40415	1875	4	50x50	soil	Soil	0			40	25	98	10	12	11	2	1.5	1.5	1.5	+	6	12	0	NA	NA	2a	80	110	1	55
WDY	WDY01A4	7	0		24.58534	121.40408	1872	5	50x50	soil	Soil	0			40	40	98	12	15	13.5	2	1.5	1.5	1.5	2m	10	15	1	15	25	0	NA	NA	1	55
WDY	WDY01A5	7	0		24.58540	121.40411	1874	5	40x62.5	living_root	Mat	50			10	15	40	10	8	9	50	2	1	1.5	+	7	10	0	NA	NA	0	NA	NA	1	80
WDY	WDY02	8	1		24.58548	121.40390	1937	4	50x50	stump	CWD_nonD	80		2	0.5	0.5	60	2	1	1.5	30	2	2	2	2a	5	15	r	5	5	1	110	120	2	35
WDY	WDY02A1	8	0		24.58558	121.40391	1906	5	50x50	soil	Soil	0			30	23	80	15	15	15	10	5	5	5	1	25	30	+	15	15	3	160	200	1	50
WDY	WDY02A2	8	0		24.58545	121.40390	1916	5	20x125	log	CWD_halfD	250		3	2	2	0	NA	NA	0	25	3	4	3.5	2b	6	10	3	60	100	2m	110	130	1	55
WDY	WDY02A3	8	0		24.58545	121.40388	1893	3	50x50	log	CWD_nonD	200		2	1	1	5	2	2	2	5	0.5	0.5	0.5	1	1	5	0	NA	NA	0	NA	NA	1	45
