Region	Plot_ID	ID	Sd_ID	Species	Ht	Dist_surf	Sub	Decay	M	Position	Competition	
TSS	TSS01	1	1	Chamaecyparis_obtusa_formosana	8	100	log	3	M	Up		
TSS	TSS01	1	2	Chamaecyparis_obtusa_formosana	7	100	log	3	M	Up		
TSS	TSS01	1	3	Chamaecyparis_obtusa_formosana	7	100	log	3	M	Up		
TSS	TSS01	1	4	Chamaecyparis_obtusa_formosana	7	100	log	3	M	Up		
TSS	TSS01	1	5	Chamaecyparis_obtusa_formosana	7.5	100	log	3	M	Up		
TSS	TSS01	1	6	Chamaecyparis_obtusa_formosana	3.5	100	log	3	M	Up		
TSS	TSS01	1	7	Chamaecyparis_obtusa_formosana	10.5	100	log	3	M	Up		
TSS	TSS01	1	8	Chamaecyparis_obtusa_formosana	3.5	100	log	3	L	Up		
TSS	TSS01	1	9	Tsuga_chinensis	4.5	100	log	3	M	Up		
TSS	TSS01	1	10	Chamaecyparis_obtusa_formosana	7.5	100	log	3	M	Up		
TSS	TSS01	1	11	Chamaecyparis_obtusa_formosana	7.5	100	log	3	M	Up		
TSS	TSS01	1	12	Tsuga_chinensis	4	100	log	3	M	Up		
TSS	TSS01	1	13	Chamaecyparis_obtusa_formosana	8	100	log	3	M	Up		
TSS	TSS01	1	14	Chamaecyparis_obtusa_formosana	7.5	100	log	3	M	Up		
TSS	TSS01	1	15	Chamaecyparis_obtusa_formosana	8.5	100	log	3	M	Up		
TSS	TSS01	1	16	Chamaecyparis_obtusa_formosana	12.5	100	log	3	M	Up		
TSS	TSS01	1	17	Chamaecyparis_obtusa_formosana	6.5	100	log	3	M	Up		
TSS	TSS01	1	18	Chamaecyparis_obtusa_formosana	5	100	log	3	M	Up		
TSS	TSS01	1	19	Chamaecyparis_obtusa_formosana	7.5	100	log	3	M	Up		
TSS	TSS02	2	1	Chamaecyparis_obtusa_formosana	3	40	log	4	M	Up		
TSS	TSS02	2	2	Chamaecyparis_obtusa_formosana	3	40	log	4	M	Up		
TSS	TSS02	2	3	Chamaecyparis_obtusa_formosana	2.5	40	log	4	M	Up		
TSS	TSS02	2	4	Chamaecyparis_obtusa_formosana	3.5	40	log	4	M	Up		
TSS	TSS02	2	5	Chamaecyparis_obtusa_formosana	4.5	40	log	4	M	Up		
TSS	TSS02	2	6	Chamaecyparis_obtusa_formosana	3	40	log	4	M	Up		
TSS	TSS03	3	1	Chamaecyparis_obtusa_formosana	4.5	25	log	6	L	Up		
TSS	TSS03	3	2	Chamaecyparis_obtusa_formosana	5	25	log	6	L	Up	RHOFOR	
TSS	TSS03	3	3	Chamaecyparis_obtusa_formosana	4.5	25	log	6	M	Up		
TSS	TSS03	3	4	Chamaecyparis_obtusa_formosana	2.5	25	log	6	L	Up		
TSS	TSS03	3	5	Chamaecyparis_obtusa_formosana	5.5	25	log	6	M	Up		
TSS	TSS03	3	6	Chamaecyparis_obtusa_formosana	4	25	log	6	M	Side		
TSS	TSS03	3	7	Chamaecyparis_obtusa_formosana	5.5	25	log	6	M	Side		
TSS	TSS03	3	8	Chamaecyparis_obtusa_formosana	5.5	25	log	6	L	Up		
TSS	TSS03	3	9	Chamaecyparis_obtusa_formosana	3	25	log	6	L	Up		
TSS	TSS03	3	10	Chamaecyparis_obtusa_formosana	4.5	25	log	6	M	Up		
TSS	TSS03	3	11	Chamaecyparis_obtusa_formosana	4.5	25	log	6	M	Up		
TSS	TSS03	3	12	Tsuga_chinensis	6.5	25	log	6	M	Up		
TSS	TSS03	3	13	Tsuga_chinensis	6	25	log	6	M	Up		
