releve_num,Tmx,Tmy,SMCF_area_p,con_len,tri_mean_p,veg_di,near_dist,edge_len,specialist_richness,richness,buffer
17911,224052,2505944,0.437587899,1841.548996,400.5485338,1.208778518,164.3274519,8242.415289,3,28,1000
16679,279230,2715107,0.964890162,6000.827725,264.9082894,1.06659286,187.2678985,2893.0579,6,24,1000
16523,290219,2735250,0.484318782,1738.472939,412.9085682,1.151058141,209.2607122,7124.550458,9,26,1000
16590,279948,2714874,0.989194455,5852.380984,193.5579366,0.780510764,353.7375386,1371.521196,9,38,1000
17908,223965,2506122,0.377000983,938.673233,385.5971715,1.225609597,134.7398376,7840.972574,8,26,1000
16662,279356,2714805,0.984310679,6122.74906,225.2786406,1.056779097,144.1857646,1851.32597,5,19,1000
17376,229525,2616262,0.818982552,4712.629856,294.2419737,0.868075538,29.04949832,7264.071815,8,21,1000
17874,225421,2511667,0.410710933,1559.183954,407.9971691,0.096581933,18.92734088,6541.315298,7,32,1000
16866,268145,2716591,0.842097221,5765.549714,384.5452409,1.206526313,28.26777915,6029.622924,4,23,1000
17830,241146,2575831,0.391139966,2185.620056,434.0556888,1.033723969,146.0394303,6874.300171,4,20,1000
18704,292832,2652502,0.403082782,1478.900024,308.5911885,0.327462778,249.1594065,6316.179531,10,31,1000
18263,252884,2526780,0.219515634,355.6221519,325.728658,0.690093097,175.2237397,6111.743118,5,20,1000
18702,292932,2652396,0.35510052,1344.77002,315.2048074,0.3563214,158.3693902,6053.825737,10,29,1000
17659,225034,2586544,0.67506165,3083.824776,367.8777953,0.01986133,297.2125837,6160.167969,6,18,1000
17465,269781,2654839,0.622765242,3648.591514,357.1562245,0.325694881,303.204359,4640.595433,6,20,1000
16473,286799,2718567,0.721341696,5185.100098,286.9637331,0.884881493,178.0613156,3519.719971,2,19,1000
17909,224030,2506039,0.401897022,1505.003037,391.5972538,1.223830399,185.7558286,8047.801077,6,25,1000
17991,222685,2501826,0.708686646,3519.598877,437.9619025,0.917691642,384.9828364,8127.946197,3,25,1000
17441,235083,2597400,0.857945704,5394.814961,322.0089463,1.349731799,285.0832658,6487.960492,9,19,1000
17523,269940,2652993,0.955521316,5607.923521,338.942025,1.657461108,423.1819675,3772.628761,8,30,1000
